,site,id,func_run,max_relative_motion,num_movements,func_overlap_with_90,func_overlap_with_std,func_mean_zcor,func_std_zcor,anat_mean_zcor,anat_percent_voxs,anat_std_zcor
154,QuironValencia,QuironValencia_0020014,1,0.76600256527,0,99.4369086089,1096.1288468,,,0.64211211917,-2.25550989265,-1.33597387603
155,QuironValencia,QuironValencia_0020015,1,0.761113821974,0,97.1555177151,1035.93661793,,,0.16008199083,-3.61153379291,-1.66601607216
156,QuironValencia,QuironValencia_0020017,1,0.199903601768,0,98.6667698678,1065.62831276,,,0.831608540328,-2.99146024165,-0.428186618077
157,QuironValencia,QuironValencia_0020018,1,0.606933554848,0,98.9299328547,933.635947834,,,0.569991771857,-3.22454067069,-1.26836513301
158,QuironValencia,QuironValencia_0020019,1,0.796128055026,0,99.1485903365,1189.78127442,,,0.819861344442,-1.14318108993,-1.25226484293
159,QuironValencia,QuironValencia_0020020,1,0.795160367473,0,97.8056850945,1122.32693033,,,0.934391762026,-2.04321652275,-0.948745531622
160,QuironValencia,QuironValencia_0020021,1,0.506882994388,0,96.4589098086,1014.21334468,,,-0.70783151902,-3.5213091107,-2.936836205
161,QuironValencia,QuironValencia_0020022,1,0.232414737054,0,96.4182743474,867.213201147,,,-0.28066408702,-5.10510610574,-1.49540619919
162,QuironValencia,QuironValencia_0020023,1,1.05636335605,1,98.6551597361,1216.22775738,,,0.322966247459,-1.01890101297,-2.22477099349
163,QuironValencia,QuironValencia_0020024,1,0.90360970557,0,91.1337293678,926.034047984,,,-0.0515431692451,-2.73980414274,-2.59822405801
164,QuironValencia,QuironValencia_0020025,1,0.239381473803,0,95.0018382709,595.939677154,,,-2.93350354526,-12.3009667897,-3.31698208146
165,QuironValencia,QuironValencia_0020028,1,0.176354784455,0,99.0499042164,984.794050995,,,0.0511889280919,-4.34394591907,-1.66694420436
166,QuironValencia,QuironValencia_0020029,1,3.57670695613,4,97.3528899553,1074.48965071,,,-0.257855659705,-1.23915538424,-1.74763896134
167,QuironValencia,QuironValencia_0020030,1,0.848740602304,0,98.2023645968,988.089845497,,,-0.310626583301,-4.88883223515,-0.920205240833
168,QuironValencia,QuironValencia_0020031,1,0.914831186613,0,88.9142591768,947.967723006,,,-0.586283813141,-4.55314334399,-2.18100339334
169,QuironValencia,QuironValencia_0020032,1,0.36334457475,0,98.6338744945,1027.00218837,,,0.242822932431,-3.42533481639,-1.7254162385
170,QuironValencia,QuironValencia_0020033,1,0.129367151936,0,92.0722150196,1075.89653518,,,0.521667524898,-2.84860449482,-1.87327284955
171,QuironValencia,QuironValencia_0020034,1,0.143769329135,0,98.450047408,1075.51432347,,,0.896847512249,-2.65798273976,-0.894424604275
172,QuironValencia,QuironValencia_0020035,1,0.32179720322,0,98.5080980669,883.515153867,,,0.228308464119,-4.60002479651,-0.433253082536
173,QuironValencia,QuironValencia_0020036,1,0.766881796628,0,98.1210936744,850.788187104,,,0.0277609904172,-4.68538442233,-0.560791420312
174,QuironValencia,QuironValencia_0020038,1,0.27901032239,0,98.1733392674,1046.48127475,,,0.403366453045,-3.33112963349,-1.50280694713
175,QuironValencia,QuironValencia_0020039,1,0.694790270513,0,99.0886046557,902.93366111,,,0.101535847629,-4.81718322281,-0.691635794825
176,QuironValencia,QuironValencia_0020040,1,0.920487044993,0,98.9241277889,1070.62574721,,,0.76447176834,-2.49168626667,-1.20912483261
177,QuironValencia,QuironValencia_0020041,1,1.80177974514,10,99.0440991505,1031.24767511,,,0.991069324799,-2.15865104264,-0.768027769128
178,QuironValencia,QuironValencia_0020042,1,0.789515294342,0,98.2913756071,945.758003105,,,0.728214656343,-3.21923333644,-0.170280559743
179,QuironValencia,QuironValencia_0020043,1,0.400079992002,0,97.8966311268,864.937999623,,,-0.255915670317,-4.73890004266,-2.16185714479
180,QuironValencia,QuironValencia_0020045,1,0.76600256527,0,99.4369086089,1096.1288468,,,0.64211211917,-2.25550989265,-1.33597387603
181,Rockland,Rockland_1351931,1,0.431336527551,0,99.6865264421,324.911764355,,,-0.0720448350024,-0.37273306833,1.37590141794
182,Rockland,Rockland_1427581,1,0.459790354401,0,99.8026277598,207.851849586,,,-0.0893347019874,0.0359316687324,-0.813442949015
183,Rockland,Rockland_2021454,1,0.924176693063,0,99.8026277598,302.004651334,,,0.224717629854,-0.765033524796,0.807796724557
184,Rockland,Rockland_2328270,1,0.773195576811,0,99.740707057,267.336835683,,,-0.479721749534,-0.0737532390506,0.240052263428
185,Rockland,Rockland_2541244,1,0.460502008682,0,99.3653127963,336.245883937,,,-0.689950613993,-0.593429717458,-0.305433635657
186,Rockland,Rockland_2784584,1,1.10547002221,1,99.8413281991,333.123161587,,,-0.625800258079,0.739595734389,-0.425801519875
187,Rockland,Rockland_2861923,1,1.37496145764,13,98.970568316,258.756052021,,,-0.442219956618,-0.545221431376,-1.42077177696
188,Rockland,Rockland_3374719,1,0.457357475067,0,99.587840322,260.567707531,,,0.0225427767717,0.467152576347,-0.22025490833
189,Rockland,Rockland_3466763,1,0.332983663263,0,99.8664834846,297.449338106,,,0.186295439103,-0.228108210084,1.38385901904
