,Id,release,dir,exists,mean_FD,max_relative_motion
55,M10944667,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10944667_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.061360195,0.551814651853
56,M10926919,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10926919_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.226899653333,1.03495242886
57,M10973496,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10973496_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0851855558333,0.373034864322
58,M10903714,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10903714_session_1/scan_RfMRI_std_2500_rest_RPI,False,0.0,0.0
59,M10993358,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10993358_JAF_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0728714058333,0.249540878415
60,M10935671,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10935671_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.04495984,0.0920513443682
61,M10968413,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10968413_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1345036025,0.143484668171
62,M10962704,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10962704_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.141064325,0.486104453796
63,M10950525,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10950525_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0444883233333,0.103317471901
64,M10941795,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10941795_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0919441141667,0.415916457958
65,M10905290,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10905290_RFA_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.246549125,0.732067811067
66,M10985428,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10985428_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.05906115,0.185438399475
67,M10983726,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10983726_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0653680066667,0.54063411842
68,M10937073,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10937073_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.782152341667,3.92300066913
69,M10922169,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10922169_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.140431231667,0.325747294693
70,M10923657,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10923657_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1391196825,0.400272869428
71,M10998051,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10998051_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.162055149167,0.572871722116
72,M10931127,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10931127_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.147741420833,0.471309410048
