,Unnamed: 0,label,val,x,y,z,stat,local.dist,all.dist,ps1,fs1,ps2,fs2
79,80,minima,408,-4,44,10,-1.731,21.9089023002,16.9705627485,0.0463369362529,0.725246244215,0.992821415373,1.36049213242
80,81,minima,410,16,48,2,-2.344,21.9089023002,17.88854382,0.0328265770445,0.686070383803,0.528512704843,1.09968198612
81,82,minima,412,-32,8,-6,-2.794,26.83281573,14.9666295471,0.00211872623772,0.536319652136,0.171640906066,0.856763310834
82,83,minima,414,-8,20,-6,-1.781,23.3238075794,20.0,0.0191183171594,0.66156685533,0.0573967511578,0.712376801314
83,84,minima,416,36,0,18,-1.758,28.0,11.313708499,0.00591758524941,0.562967972837,1.20157956632,1.4380258644
84,85,minima,418,-8,-32,10,-2.536,21.5406592285,14.4222051019,0.0321713206698,0.668453420713,0.351119797932,0.989014632668
85,86,minima,420,8,8,6,-2.018,23.3238075794,16.4924225025,0.00145006639523,0.536609048696,0.682354456779,1.19055204616
86,87,minima,422,8,-20,18,-1.955,21.5406592285,18.3303027798,0.0024680013576,0.532806844866,0.468606247088,1.0669656478
87,88,minima,424,-36,24,30,-3.019,39.5979797464,21.5406592285,8.68675834286e-05,0.348563436004,0.0629504221886,0.675910375454
88,89,minima,426,48,24,10,-2.497,28.0,17.88854382,0.000608438280909,0.454385250602,0.714442690992,1.2540608729
89,90,minima,428,16,20,46,-2.486,21.5406592285,18.3303027798,0.00989804388561,0.577494897815,0.370930357456,0.994441040711
90,91,minima,430,52,-8,-10,-2.131,23.6643191324,17.88854382,0.0203909314964,0.629518524584,0.0553857433974,0.729474165458
91,92,minima,432,0,-64,-6,-1.908,36.6606055596,18.3303027798,0.0955729985286,0.785813417618,0.975788076074,1.32493586551
92,93,minima,434,16,48,26,-2.457,23.6643191324,11.313708499,0.000260654893432,0.434979388841,1.40450377817,1.60023701945
93,94,minima,436,48,12,-22,-1.77,23.6643191324,14.4222051019,0.102739556669,0.78086668792,0.243363891754,0.896714546422
94,95,minima,438,24,-36,6,-1.783,25.6124969497,17.88854382,0.0277662960169,0.662297628484,0.155605673259,0.836672077148
95,96,minima,440,-28,-12,14,-1.973,28.5657137142,14.9666295471,0.000144788960135,0.47152382683,0.675580348529,1.1741878321
96,97,minima,442,16,-28,50,-2.61,30.7245829915,18.3303027798,0.00536028971782,0.581269057087,0.0073581301216,0.601097079218
97,98,minima,444,16,-32,-22,-2.786,29.3938769134,14.9666295471,0.0461759015513,0.719790661424,0.651954882463,1.17682182104
98,99,minima,446,20,-60,34,-1.809,28.5657137142,22.9782505862,0.0109359976636,0.540508208199,1.24667233334,1.55958306907
99,100,minima,448,-12,-60,34,-2.516,32.0,16.4924225025,0.0022642234021,0.483319307924,0.751209622425,1.25225044243
