"id","site","orig_id","run","outdir","mean_FD","mean_relative","age","sex","handedness","eyes","orig_site"
"beijing_sub06899","Beijing A","sub06899","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub06899_/scan_func_rest",0.0798801302222,0.371459853587,19,"Female",NA,"Closed","beijing"
"beijing_sub15441","Beijing A","sub15441","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub15441_/scan_func_rest",0.0517730647111,0.0940872682882,19,"Female",NA,"Closed","beijing"
"beijing_sub22715","Beijing A","sub22715","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub22715_/scan_func_rest",0.0518818062222,0.143612155844,19,"Female",NA,"Closed","beijing"
"beijing_sub49782","Beijing A","sub49782","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub49782_/scan_func_rest",0.0954896466667,0.141796836317,19,"Female",NA,"Closed","beijing"
"beijing_sub50985","Beijing A","sub50985","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub50985_/scan_func_rest",0.0567402586667,0.0520496769253,19,"Female",NA,"Closed","beijing"
"beijing_sub73421","Beijing A","sub73421","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub73421_/scan_func_rest",0.170445733778,0.120730939632,19,"Female",NA,"Closed","beijing"
"beijing_sub80927","Beijing A","sub80927","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub80927_/scan_func_rest",0.0777790698222,0.0508609277197,19,"Female",NA,"Closed","beijing"
"beijing_sub89088","Beijing A","sub89088","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub89088_/scan_func_rest",0.068477408,0.290200353645,19,"Female",NA,"Closed","beijing"
"beijing_sub08992","Beijing A","sub08992","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub08992_/scan_func_rest",0.173600736444,0.17603749442,20,"Female",NA,"Closed","beijing"
"beijing_sub32587","Beijing A","sub32587","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub32587_/scan_func_rest",0.0615180608889,0.133952898898,20,"Female",NA,"Closed","beijing"
