"sample","site","keep"
"Discovery Sample","Leiden A",TRUE
"Discovery Sample","Leiden A",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Leiden B",TRUE
"Discovery Sample","Munchen",TRUE
"Discovery Sample","Munchen",TRUE
"Discovery Sample","Munchen",TRUE
"Discovery Sample","Munchen",TRUE
"Discovery Sample","Munchen",FALSE
"Discovery Sample","Newark",TRUE
"Discovery Sample","Newark",TRUE
"Discovery Sample","Newark",TRUE
"Discovery Sample","Newark",TRUE
"Discovery Sample","Newark",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York A",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","New York B",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Orangeburg",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Queensland",TRUE
"Discovery Sample","Quiron-Valencia",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Rockland",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Saint Louis",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
"Discovery Sample","Virginia Tech",TRUE
