"","site","id","age","sex","handedness","eyes"
"437","cambridge","sub19717",20,"M",NA,NA
"438","cambridge","sub20389",22,"F",NA,NA
"439","cambridge","sub20543",20,"F",NA,NA
"440","cambridge","sub20563",23,"F",NA,NA
"441","cambridge","sub21755",21,"M",NA,NA
"442","cambridge","sub23780",21,"M",NA,NA
"443","cambridge","sub23869",22,"F",NA,NA
"444","cambridge","sub24670",23,"F",NA,NA
"445","cambridge","sub24757",21,"F",NA,NA
"446","cambridge","sub25044",19,"F",NA,NA
"447","cambridge","sub25058",22,"M",NA,NA
"448","cambridge","sub25099",26,"F",NA,NA
"449","cambridge","sub26348",23,"F",NA,NA
"450","cambridge","sub27065",21,"M",NA,NA
"451","cambridge","sub27230",22,"M",NA,NA
"452","cambridge","sub27613",18,"F",NA,NA
"453","cambridge","sub27796",22,"F",NA,NA
"454","cambridge","sub29044",21,"F",NA,NA
"455","cambridge","sub29425",22,"M",NA,NA
"456","cambridge","sub29800",24,"F",NA,NA
"457","cambridge","sub31522",21,"F",NA,NA
"458","cambridge","sub34586",21,"M",NA,NA
"459","cambridge","sub34741",27,"F",NA,NA
"460","cambridge","sub35430",20,"M",NA,NA
"461","cambridge","sub35512",19,"F",NA,NA
"462","cambridge","sub37374",21,"F",NA,NA
"463","cambridge","sub39053",22,"M",NA,NA
"464","cambridge","sub39065",19,"F",NA,NA
"465","cambridge","sub39142",25,"M",NA,NA
"466","cambridge","sub39737",23,"M",NA,NA
"467","cambridge","sub40635",18,"M",NA,NA
"468","cambridge","sub41567",20,"F",NA,NA
"469","cambridge","sub41773",21,"M",NA,NA
"470","cambridge","sub41814",19,"F",NA,NA
"471","cambridge","sub42146",24,"F",NA,NA
"472","cambridge","sub42253",20,"F",NA,NA
"473","cambridge","sub43304",23,"F",NA,NA
"474","cambridge","sub43358",21,"F",NA,NA
"475","cambridge","sub45344",21,"M",NA,NA
"476","cambridge","sub45354",19,"F",NA,NA
"477","cambridge","sub45604",23,"F",NA,NA
"478","cambridge","sub47162",22,"F",NA,NA
"479","cambridge","sub47231",21,"F",NA,NA
"480","cambridge","sub47278",20,"M",NA,NA
"481","cambridge","sub47498",19,"M",NA,NA
"482","cambridge","sub49259",19,"F",NA,NA
"483","cambridge","sub49998",20,"F",NA,NA
"484","cambridge","sub50272",18,"F",NA,NA
"485","cambridge","sub50454",20,"F",NA,NA
"486","cambridge","sub50953",23,"F",NA,NA
"487","cambridge","sub51050",23,"F",NA,NA
"488","cambridge","sub51172",18,"F",NA,NA
"489","cambridge","sub51512",23,"M",NA,NA
"490","cambridge","sub51671",22,"F",NA,NA
"491","cambridge","sub52036",20,"F",NA,NA
"492","cambridge","sub52300",23,"F",NA,NA
"493","cambridge","sub52442",25,"F",NA,NA
"494","cambridge","sub53059",22,"F",NA,NA
"495","cambridge","sub53107",19,"F",NA,NA
"496","cambridge","sub53193",20,"M",NA,NA
"497","cambridge","sub53296",22,"F",NA,NA
"498","cambridge","sub53615",19,"M",NA,NA
"499","cambridge","sub54846",20,"M",NA,NA
"500","cambridge","sub55114",21,"M",NA,NA
"501","cambridge","sub55660",20,"F",NA,NA
"502","cambridge","sub55874",19,"F",NA,NA
"503","cambridge","sub57221",21,"M",NA,NA
"504","cambridge","sub58360",23,"F",NA,NA
"505","cambridge","sub58470",20,"M",NA,NA
"506","cambridge","sub58682",22,"F",NA,NA
"507","cambridge","sub58874",20,"M",NA,NA
"508","cambridge","sub59434",21,"M",NA,NA
"509","cambridge","sub59729",23,"M",NA,NA
"510","cambridge","sub60578",23,"F",NA,NA
"511","cambridge","sub60797",19,"F",NA,NA
"512","cambridge","sub61185",26,"F",NA,NA
"513","cambridge","sub61209",20,"F",NA,NA
"514","cambridge","sub61436",22,"F",NA,NA
"515","cambridge","sub61753",20,"F",NA,NA
"516","cambridge","sub62383",22,"F",NA,NA
