"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"407",1,100,0.3,10,"degree",0.8,0.94
"408",1,100,0.3,10,"mdmr",1,1
"409",1,100,0.02,14,"glm",0.184285714285714,0.951935483870968
"410",1,100,0.02,14,"degree",0.08,0.94
"411",1,100,0.02,14,"mdmr",0.14,1
"412",1,100,0.04,14,"glm",0.597142857142857,0.951720430107527
"413",1,100,0.04,14,"degree",0.14,0.9
"414",1,100,0.04,14,"mdmr",0.98,1
"415",1,100,0.06,14,"glm",0.928571428571429,0.95258064516129
"416",1,100,0.06,14,"degree",0.22,0.94
"417",1,100,0.06,14,"mdmr",1,1
"418",1,100,0.08,14,"glm",0.992857142857143,0.952903225806452
"419",1,100,0.08,14,"degree",0.22,0.94
"420",1,100,0.08,14,"mdmr",1,1
"421",1,100,0.1,14,"glm",1,0.952365591397849
"422",1,100,0.1,14,"degree",0.34,0.88
"423",1,100,0.1,14,"mdmr",1,1
"424",1,100,0.15,14,"glm",1,0.952258064516129
"425",1,100,0.15,14,"degree",0.54,0.96
"426",1,100,0.15,14,"mdmr",1,1
"427",1,100,0.2,14,"glm",1,0.953655913978495
"428",1,100,0.2,14,"degree",0.66,0.92
"429",1,100,0.2,14,"mdmr",1,0.98
"430",1,100,0.3,14,"glm",1,0.951935483870968
"431",1,100,0.3,14,"degree",0.7,0.94
"432",1,100,0.3,14,"mdmr",1,1
"433",1,150,0.02,2,"glm",0.29,0.953333333333333
"434",1,150,0.02,2,"degree",0.08,0.98
"435",1,150,0.02,2,"mdmr",0.06,0.98
"436",1,150,0.04,2,"glm",0.8,0.952929292929293
"437",1,150,0.04,2,"degree",0.02,0.92
"438",1,150,0.04,2,"mdmr",0.22,0.96
"439",1,150,0.06,2,"glm",0.99,0.953232323232323
"440",1,150,0.06,2,"degree",0.08,0.96
"441",1,150,0.06,2,"mdmr",0.62,0.98
"442",1,150,0.08,2,"glm",1,0.952929292929293
"443",1,150,0.08,2,"degree",0.1,0.96
"444",1,150,0.08,2,"mdmr",0.92,0.96
"445",1,150,0.1,2,"glm",1,0.952828282828283
"446",1,150,0.1,2,"degree",0.08,0.96
"447",1,150,0.1,2,"mdmr",1,0.98
"448",1,150,0.15,2,"glm",1,0.952828282828283
"449",1,150,0.15,2,"degree",0.1,0.96
"450",1,150,0.15,2,"mdmr",1,0.96
"451",1,150,0.2,2,"glm",1,0.952828282828283
