"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"461",1,100,0.04,10,"degree",0.6,0.96
"462",1,100,0.04,10,"mdmr",0.8,0.92
"463",1,100,0.06,10,"glm",0.932,0.945052631578947
"464",1,100,0.06,10,"degree",0.88,0.96
"465",1,100,0.06,10,"mdmr",1,0.9
"466",1,100,0.08,10,"glm",0.996,0.945263157894737
"467",1,100,0.08,10,"degree",1,0.94
"468",1,100,0.08,10,"mdmr",1,0.86
"469",1,100,0.1,10,"glm",1,0.945473684210526
"470",1,100,0.1,10,"degree",1,0.98
"471",1,100,0.1,10,"mdmr",1,0.92
"472",1,100,0.15,10,"glm",1,0.944842105263158
"473",1,100,0.15,10,"degree",1,0.96
"474",1,100,0.15,10,"mdmr",1,0.94
"475",1,100,0.2,10,"glm",1,0.945052631578947
"476",1,100,0.2,10,"degree",1,1
"477",1,100,0.2,10,"mdmr",1,0.9
"478",1,100,0.3,10,"glm",1,0.945263157894737
"479",1,100,0.3,10,"degree",1,1
"480",1,100,0.3,10,"mdmr",1,0.94
"481",1,100,0.02,14,"glm",0.212857142857143,0.945161290322581
"482",1,100,0.02,14,"degree",0.28,0.96
"483",1,100,0.02,14,"mdmr",0.16,0.92
"484",1,100,0.04,14,"glm",0.617142857142857,0.945698924731183
"485",1,100,0.04,14,"degree",0.88,0.96
"486",1,100,0.04,14,"mdmr",0.62,0.92
"487",1,100,0.06,14,"glm",0.914285714285714,0.945913978494624
"488",1,100,0.06,14,"degree",1,0.94
"489",1,100,0.06,14,"mdmr",0.96,0.9
"490",1,100,0.08,14,"glm",0.997142857142857,0.945161290322581
"491",1,100,0.08,14,"degree",1,0.96
"492",1,100,0.08,14,"mdmr",1,0.88
"493",1,100,0.1,14,"glm",1,0.945591397849462
"494",1,100,0.1,14,"degree",1,0.94
"495",1,100,0.1,14,"mdmr",1,0.86
"496",1,100,0.15,14,"glm",1,0.944623655913978
"497",1,100,0.15,14,"degree",1,0.94
"498",1,100,0.15,14,"mdmr",1,0.92
"499",1,100,0.2,14,"glm",1,0.944731182795699
"500",1,100,0.2,14,"degree",1,0.94
"501",1,100,0.2,14,"mdmr",1,0.92
"502",1,100,0.3,14,"glm",1,0.944838709677419
"503",1,100,0.3,14,"degree",1,0.98
"504",1,100,0.3,14,"mdmr",1,0.9
"505",1,150,0.02,1,"glm",0.32,0.95035175879397
"506",1,150,0.02,1,"degree",0,0.96
"507",1,150,0.02,1,"mdmr",0.02,0.92
"508",1,150,0.04,1,"glm",0.86,0.950552763819095
"509",1,150,0.04,1,"degree",0.04,0.98
"510",1,150,0.04,1,"mdmr",0.1,0.96
"511",1,150,0.06,1,"glm",0.98,0.950251256281407
"512",1,150,0.06,1,"degree",0.08,1
"513",1,150,0.06,1,"mdmr",0.2,0.94
"514",1,150,0.08,1,"glm",1,0.950150753768844
"515",1,150,0.08,1,"degree",0.08,0.98
"516",1,150,0.08,1,"mdmr",0.6,0.94
"517",1,150,0.1,1,"glm",1,0.950452261306533
"518",1,150,0.1,1,"degree",0.14,0.98
"519",1,150,0.1,1,"mdmr",0.88,0.96
"520",1,150,0.15,1,"glm",1,0.950251256281407
"521",1,150,0.15,1,"degree",0.22,1
"522",1,150,0.15,1,"mdmr",1,0.94
"523",1,150,0.2,1,"glm",1,0.950653266331658
"524",1,150,0.2,1,"degree",0.26,0.98
"525",1,150,0.2,1,"mdmr",1,0.94
"526",1,150,0.3,1,"glm",1,0.95035175879397
"527",1,150,0.3,1,"degree",0.64,0.96
"528",1,150,0.3,1,"mdmr",1,0.92
